,stockX,flightClub,goat,shoeName,brand,silhoutte,make,colorway,retailPrice,thumbnail,releaseDate,description
241,165,180.0,180.0,New Balance 1906D Protection Pack Black,New Balance,New Balance 1906D,New Balance 1906D,Black,165.0,https://images.stockx.com/images/New-Balance-1906D-Protection-Pack-Black-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1673541726,2023-01-06,
242,176,156.0,169.0,Jordan 6 Retro Georgetown (2022),Nike,Jordan 6 Retro,Jordan 6 Retro,Magnet/College Navy,200.0,https://images.stockx.com/images/Air-Jordan-6-Retro-Georgetown-2022-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1663699577,2022-09-03,"Michael Jordan and the North Carolina Tar Heels faced off against the Georgetown Hoyas during the 1982 NCAA Tournament, where MJ hit the go ahead basket to cement a win in the final game. This Air Jordan 6 Retro utilizes signature Hoya colors across the retro hoops shoe, commemorating the epic finish. A grey suede upper showcases perforated detailing and a Huarache inner sleeve for a custom fit. Navy accents add a nice pop of contrast on the heel tab, Jumpman logo and the midsole. A visible NIke Air unit gives way to a translucent outsole, finishing the look."
243,107,95.0,95.0,Nike Dunk Low Retro PRM Halloween (2022),Nike,Nike Dunk Low Retro PRM,Nike Dunk Low Retro PRM,Iron Grey/Phantom/Ghost Green,120.0,https://images.stockx.com/images/Nike-Dunk-Low-Swoosh-Shadow-Iron-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1666081545,2022-10-27,"October 31 takes center stage in The Nike Dunk Low SE ‘ Cauldron.’ Delivering hues that conjure vintage goblins and ghosts, the upper in smooth grey leather is interrupted with splintered overlays matched by the signature Swoosh. 'Nike' in a reflective Frankenstein-ish font adorns the heel tabs and the midsole in cream contrasts against the rubber outsole in Scream Green."
244,78,,,Nike Big Swoosh Reversible Boa Jacket (Asia Sizing) Hemp White,Nike,Nike Big Swoosh Reversible Boa,Nike Big Swoosh Reversible Boa,Hemp White,90.0,https://images.stockx.com/images/Nike-Big-Swoosh-Reversible-Boa-Jacket-Asia-Sizing-Hemp-White.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1666762448,,"The Nike Big Swoosh Reversible Boa Jacket (Asia Sizing) Hemp White was made available in a hemp white colorway.
<br>
<br>
This Reversible Boa Jacket has an insulating layer made of fleece material, and a front zip. It also features a large Nike emblem in a white color that contrasts with the hemp color of the garment. The interior is built of 100% nylon fabric, while the exterior is made of a blend of 17% acrylic and 83% polyester.
<br>
<br>
The Nike Big Swoosh Reversible Boa Jacket (Asia Sizing) Hemp White was first released on October 23rd, 2020, with a initial retail price set at $90."
245,119,125.0,125.0,Nike Dunk Low Light Iron Ore (W),Nike,Nike Dunk Low,Nike Dunk Low,Light Iron Ore/Black/White/University Red,120.0,https://images.stockx.com/images/Nike-Dunk-Low-Light-Iron-Ore-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1668755060,2022-11-03,
246,155,164.0,164.0,New Balance 1906D Protection Pack Harbor Grey,New Balance,New Balance 1906D,New Balance 1906D,Castlerock/Harbor Grey,165.0,https://images.stockx.com/images/New-Balance-1906D-Protection-Pack-Harbor-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1672300242,2023-01-06,
247,224,210.0,210.0,New Balance 9060 Bricks & Wood,New Balance,New Balance 9060,New Balance 9060,Beige/Grey/Green,180.0,https://images.stockx.com/images/New-Balance-9060-Bricks-Wood-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1675183185,2023-01-20,
248,174,146.0,146.0,Jordan 12 Retro Playoffs (2022),Nike,Jordan 12 Retro,Jordan 12 Retro,Black/Varsity Red-White,210.0,https://images.stockx.com/images/Air-Jordan-12-Retro-Playoffs-2022-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1646231976,2022-03-11,"Bringing back the mid-top that Michael wore during his 1997 championship campaign is the 2022 edition of the Air Jordan 12 Retro 'Playoff.' It features an essential two-tone color scheme, featuring radiating stitched lines on the black leather upper and lizard-textured overlays in a contrasting white finish. Metallic silver eyelets are molded on, while color-popped crimson accents land on the Jumpman-embroidered tongue and webbing heel loop. Full-length Zoom Air cushioning is underneath with a carbon fiber shank plate and a rubber outsole with herringbone traction pods under the forefoot and heel."
249,109,66.0,66.0,Nike Dunk Low Triple White (2021) (W),Nike,Nike Dunk Low,Nike Dunk Low,White/White-White,100.0,https://images.stockx.com/images/Nike-Dunk-Low-Triple-White-2021-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1631303124,2021-08-18,"Arriving in a colorless palette, the Nike Women’s Dunk Low ‘Triple White’ is a refined reinvention of an old-school basketball low-top. The upper features white leather and a ventilated toe box and overlays with stitching. The padded collar and airy nylon tongue with a black-and-white Nike tag provide comfort complemented by the traditional white rubber cupsole underfoot. Additional branding appears on the heel tab stitched with ‘Nike.’"
250,108,56.0,80.0,Nike Air Max Plus White,Nike,Nike Air Max Plus,Nike Air Max Plus,White/White-Black-Cool Grey,150.0,https://images.stockx.com/images/Nike-Air-Max-Plus-White-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1611597071,2019-01-01,"The Air Max Plus 'White' features an almost-monochromatic look on its classic running construction. The shoe's upper features a technical mesh build in white, with tonal TPU overlays on the iconic lacing cage. A synthetic toe guard supports the fit, while underfoot, the tooling includes visible Air in the forefoot and heel. A grey outsole with a varied tread pattern provides traction."
251,284,301.0,301.0,Nike Dunk Low Retro PRM Year of the Rabbit Fossil Stone (2023),Nike,Nike Dunk Low Retro PRM,Nike Dunk Low Retro PRM,Fossil Stone/Coconut Milk-Sail-Light Bone-Sesame,130.0,https://images.stockx.com/images/Nike-Dunk-Low-Retro-PRM-Year-of-the-Rabbit-Mocha-Brown.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1673348195,2023-02-11,
252,361,315.0,315.0,adidas Yeezy Boost 350 V2 Core Black White (2016/2022),Adidas,adidas Yeezy Boost 350 V2,adidas Yeezy Boost 350 V2,Core Black/Core White/Core Black,220.0,https://images.stockx.com/images/adidas-Yeezy-Boost-350-V2-Core-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1648065370,2016-12-17,"Featuring a black upper with a white band, SPLY 350 branding, and a translucent black midsole; the Yeezy Boost 350 V2 ‘Oreo’ released on December 17, 2016."
253,149,137.0,137.0,Jordan 1 Retro High OG Rebellionaire,Nike,Jordan 1 Retro High OG,Jordan 1 Retro High OG,Black/White-Particle Grey,170.0,https://images.stockx.com/images/Air-Jordan-1-Retro-High-OG-Rebellionaire-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1646841923,2022-03-12,"Drawing back to when Michael Jordan received a $5,000 fine each time the rookie wore his signature black and red shoes on the court, which violated the NBA's uniform dress code at the time is the Air Jordan 1 High OG 'Rebellionaire.' The shoe which ties into the shoe's mythic 'Banned' narrative, features a leather upper finished in two-tone color blocking similar to the OG 'Shadow' colorway. Details include the 'Banned' AJ1's red 'X' on the heel, along with an all-over print that spells out 'They Can't You From Wearing Them,' which paraphrases a line from an original Air Jordan 1 TV commercial from 1985."
254,207,179.0,179.0,Nike Dunk Low Medium Olive (W),Nike,Nike Dunk Low,Nike Dunk Low,White/Medium Olive-White,110.0,https://images.stockx.com/images/Nike-Dunk-Low-Medium-Olive-W-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp&auto=compress&trim=color&q=90&dpr=2&updated_at=1664348197,2022-09-09,"The Nike Women's Dunk Low 'Medium Olive' features a two tone color blocking reminscent of the 'Be True to Your School' iterations that were first seen in 1985. A white leather base blends with Medium Olive overlays, including the Swoosh and the back heel tab. A white midsole leads to an olive rubber outsole, with the traditional Dunk traction pattern crafted for the hardwood."
